trome#2021-03-02#02.png - Time needed: 27.9603s - Config 211: Binarization.niblack, SkewCorrection.hough_transform, NoiseRemoval.conservative_filter
trome#2021-03-02#02.png - Time needed: 32.4346s - Config 59: Binarization.otsu, SkewCorrection.topline, NoiseRemoval.conservative_filter
trome#2021-03-02#02.png - Time needed: 34.6010s - Config 35: Binarization.basic, SkewCorrection.moments, NoiseRemoval.conservative_filter
trome#2021-03-02#02.png - Time needed: 35.2503s - Config 155: Binarization.adaptive_gaussian, SkewCorrection.moments, NoiseRemoval.conservative_filter
trome#2021-03-02#02.png - Time needed: 36.7708s - Config 99: Binarization.adaptive_mean, SkewCorrection.topline, NoiseRemoval.conservative_filter
trome#2021-03-02#02.png - Time needed: 37.6310s - Config 179: Binarization.yannihorne, SkewCorrection.topline, NoiseRemoval.conservative_filter
trome#2021-03-02#02.png - Time needed: 44.8151s - Config 19: Binarization.basic, SkewCorrection.topline, NoiseRemoval.conservative_filter
trome#2021-03-02#02.png - Time needed: 45.8699s - Config 139: Binarization.adaptive_gaussian, SkewCorrection.topline, NoiseRemoval.conservative_filter
trome#2021-03-02#02.png - Time needed: 45.1678s - Config 219: Binarization.niblack, SkewCorrection.topline, NoiseRemoval.conservative_filter
trome#2021-03-02#02.png - Time needed: 45.1775s - Config 235: Binarization.niblack, SkewCorrection.moments, NoiseRemoval.conservative_filter
trome#2021-03-02#02.png - Time needed: 75.8228s - Config 52: Binarization.otsu, SkewCorrection.hough_transform, NoiseRemoval.crimmins_speckle_removal
trome#2021-03-02#02.png - Time needed: 82.6948s - Config 108: Binarization.adaptive_mean, SkewCorrection.scanline, NoiseRemoval.crimmins_speckle_removal
trome#2021-03-02#02.png - Time needed: 83.1796s - Config 172: Binarization.yannihorne, SkewCorrection.hough_transform, NoiseRemoval.crimmins_speckle_removal
trome#2021-03-02#02.png - Time needed: 83.1767s - Config 188: Binarization.yannihorne, SkewCorrection.scanline, NoiseRemoval.crimmins_speckle_removal
trome#2021-03-02#02.png - Time needed: 87.0446s - Config 44: Binarization.otsu, SkewCorrection.boxes, NoiseRemoval.crimmins_speckle_removal
trome#2021-03-02#02.png - Time needed: 92.9011s - Config 132: Binarization.adaptive_gaussian, SkewCorrection.hough_transform, NoiseRemoval.crimmins_speckle_removal
trome#2021-03-02#02.png - Time needed: 93.8508s - Config 124: Binarization.adaptive_gaussian, SkewCorrection.boxes, NoiseRemoval.crimmins_speckle_removal
trome#2021-03-02#02.png - Time needed: 94.8986s - Config 196: Binarization.yannihorne, SkewCorrection.moments, NoiseRemoval.crimmins_speckle_removal
trome#2021-03-02#02.png - Time needed: 97.2394s - Config 68: Binarization.otsu, SkewCorrection.scanline, NoiseRemoval.crimmins_speckle_removal
trome#2021-03-02#02.png - Time needed: 96.8762s - Config 164: Binarization.yannihorne, SkewCorrection.boxes, NoiseRemoval.crimmins_speckle_removal
trome#2021-03-02#02.png - Time needed: 97.5291s - Config 204: Binarization.niblack, SkewCorrection.boxes, NoiseRemoval.crimmins_speckle_removal
trome#2021-03-02#02.png - Time needed: 99.6042s - Config 84: Binarization.adaptive_mean, SkewCorrection.boxes, NoiseRemoval.crimmins_speckle_removal
trome#2021-03-02#02.png - Time needed: 103.4965s - Config 148: Binarization.adaptive_gaussian, SkewCorrection.scanline, NoiseRemoval.crimmins_speckle_removal
trome#2021-03-02#02.png - Time needed: 105.8037s - Config 28: Binarization.basic, SkewCorrection.scanline, NoiseRemoval.crimmins_speckle_removal
trome#2021-03-02#02.png - Time needed: 103.6705s - Config 212: Binarization.niblack, SkewCorrection.hough_transform, NoiseRemoval.crimmins_speckle_removal
trome#2021-03-02#02.png - Time needed: 107.7631s - Config 12: Binarization.basic, SkewCorrection.hough_transform, NoiseRemoval.crimmins_speckle_removal
trome#2021-03-02#02.png - Time needed: 106.9926s - Config 92: Binarization.adaptive_mean, SkewCorrection.hough_transform, NoiseRemoval.crimmins_speckle_removal
trome#2021-03-02#02.png - Time needed: 112.4359s - Config 116: Binarization.adaptive_mean, SkewCorrection.moments, NoiseRemoval.crimmins_speckle_removal
trome#2021-03-02#02.png - Time needed: 118.0960s - Config 4: Binarization.basic, SkewCorrection.boxes, NoiseRemoval.crimmins_speckle_removal
trome#2021-03-02#02.png - Time needed: 118.7443s - Config 76: Binarization.otsu, SkewCorrection.moments, NoiseRemoval.crimmins_speckle_removal
trome#2021-03-02#02.png - Time needed: 119.3293s - Config 228: Binarization.niblack, SkewCorrection.scanline, NoiseRemoval.crimmins_speckle_removal
trome#2021-03-02#02.png - Time needed: 124.2070s - Config 36: Binarization.basic, SkewCorrection.moments, NoiseRemoval.crimmins_speckle_removal
trome#2021-03-02#02.png - Time needed: 128.7234s - Config 156: Binarization.adaptive_gaussian, SkewCorrection.moments, NoiseRemoval.crimmins_speckle_removal
trome#2021-03-02#02.png - Time needed: 141.3666s - Config 180: Binarization.yannihorne, SkewCorrection.topline, NoiseRemoval.crimmins_speckle_removal
trome#2021-03-02#02.png - Time needed: 144.3327s - Config 20: Binarization.basic, SkewCorrection.topline, NoiseRemoval.crimmins_speckle_removal
trome#2021-03-02#02.png - Time needed: 144.5295s - Config 60: Binarization.otsu, SkewCorrection.topline, NoiseRemoval.crimmins_speckle_removal
trome#2021-03-02#02.png - Time needed: 144.2591s - Config 140: Binarization.adaptive_gaussian, SkewCorrection.topline, NoiseRemoval.crimmins_speckle_removal
trome#2021-03-02#02.png - Time needed: 143.1524s - Config 220: Binarization.niblack, SkewCorrection.topline, NoiseRemoval.crimmins_speckle_removal
trome#2021-03-02#02.png - Time needed: 146.1338s - Config 100: Binarization.adaptive_mean, SkewCorrection.topline, NoiseRemoval.crimmins_speckle_removal
trome#2021-03-02#02.png - Time needed: 158.4173s - Config 236: Binarization.niblack, SkewCorrection.moments, NoiseRemoval.crimmins_speckle_removal
