file,overall_acc,macro_f1,mean_task_acc,modernizante_f1,estructuralista_f1,neoliberal_f1,posmoderna_f1,voluntarista_f1
test_results_None_False_True_False_True_1000_macro_f1_2025-12-07.json,0.7186666666666667,0.517261186347287,0.7186666666666668,0.6996148908857509,0.4924460168504812,0.3539094650205761,0.494949494949495,0.5453860640301319
test_results_random_swap_False_False_False_True_1100_accuracy_2025-12-08.json,0.7090909090909091,0.568735412293664,0.7090909090909091,0.566576639905287,0.5679798957814355,0.4142055098576838,0.48757763975155277,0.8073373761723606
test_results_None_False_False_False_True_100_accuracy_2025-12-06.json,0.6266666666666667,0.4707426872644264,0.6266666666666667,0.4,0.5051282051282051,0.3333333333333333,0.5120772946859903,0.6031746031746031
test_results_random_swap_True_False_False_True_900_macro_f1_2025-12-16.json,0.7881481481481482,0.557138132867262,0.7881481481481482,0.6664705882352941,0.4894491129785248,0.4844768990539175,0.3308457711442786,0.8144482929242949
test_results_random_swap_False_True_True_True_900_macro_f1_2025-12-16.json,0.762962962962963,0.5245166983493197,0.7629629629629628,0.6557878633350331,0.5889914304548451,0.5215584415584416,0.3308457711442786,0.5253999852539999
test_results_None_False_True_False_True_900_accuracy_2025-12-07.json,0.7911111111111111,0.5563958897627093,0.7911111111111111,0.6867366878358574,0.4767533490937746,0.4551575545381093,0.3295880149812734,0.833743842364532
test_results_random_swap_False_True_False_True_1200_accuracy_2025-12-17.json,0.6977777777777778,0.4318707332911996,0.6977777777777778,0.4249201277955272,0.34716579988879076,0.4429541314787217,0.4690265486725664,0.4752870586203919
test_results_random_swap_True_False_False_True_1100_accuracy_2025-12-08.json,0.8193939393939393,0.6135457175637187,0.8193939393939396,0.7183064240768743,0.5216662422544776,0.4840657267332167,0.49848024316109424,0.8452099515929303
test_results_None_False_False_True_True_500_macro_f1_2025-12-07.json,0.704,0.5132082665780471,0.704,0.6628304261823413,0.4585670555141888,0.421205519244735,0.576241134751773,0.44719719719719714
test_results_random_swap_False_False_True_True_1200_macro_f1_2025-12-16.json,0.7933333333333333,0.5702558461428943,0.7933333333333333,0.7328999434708876,0.5375903297858363,0.5444781485226379,0.4943820224719101,0.5419287864631994
test_results_random_deletion_True_True_False_True_1100_accuracy_2025-12-15.json,0.7987878787878788,0.5247460804458776,0.7987878787878788,0.4977863862755949,0.45793081460226365,0.34259259259259256,0.49848024316109424,0.8269403655978425
test_results_random_swap_False_True_True_True_900_accuracy_2025-12-08.json,0.7585185185185185,0.558428172435107,0.7585185185185186,0.6246524559777571,0.4221556886227545,0.5047171862092953,0.4924812030075188,0.7481343283582089
test_results_random_deletion_False_False_True_True_1100_macro_f1_2025-12-14.json,0.7806060606060606,0.5848687386761828,0.7806060606060605,0.6112710818593172,0.4884211163029836,0.5122426799641989,0.4969512195121951,0.8154575957422192
test_results_None_False_False_False_True_500_accuracy_2025-12-06.json,0.6986666666666667,0.5230549206808514,0.6986666666666668,0.625081504020865,0.4003354003354003,0.39824989824989826,0.5144198524480215,0.6771879483500718
test_results_random_swap_False_False_False_True_1100_macro_f1_2025-12-14.json,0.6872727272727273,0.5564288007865335,0.6872727272727273,0.5616883116883117,0.5119236932319918,0.403584229390681,0.48757763975155277,0.8173701298701299
test_results_None_False_True_True_True_500_macro_f1_2025-12-07.json,0.7413333333333333,0.5346618809109575,0.7413333333333333,0.7056514913657771,0.5147696284737,0.4247166756610901,0.5261390887290168,0.5020325203252033
test_results_random_deletion_False_True_False_True_1100_macro_f1_2025-12-09.json,0.7624242424242424,0.5845796298136285,0.7624242424242423,0.6538319141058867,0.5470329385879764,0.43703703703703706,0.4938650306748466,0.7911312286623959
test_results_None_False_False_False_True_200_accuracy_2025-12-06.json,0.7333333333333333,0.5329044152728363,0.7333333333333334,0.7333333333333333,0.4612794612794613,0.4481481481481482,0.47368421052631576,0.548076923076923
test_results_None_False_False_False_True_400_accuracy_2025-12-06.json,0.6666666666666666,0.4940675528701103,0.6666666666666667,0.6113770768797522,0.4389953171562367,0.4577100115074799,0.490990990990991,0.47126436781609193
test_results_random_swap_True_True_True_True_1100_macro_f1_2025-12-17.json,0.7903030303030303,0.5194588634036157,0.7903030303030303,0.6212121212121212,0.46892855465893923,0.4783172780642859,0.4969512195121951,0.5318851435705368
test_results_None_False_True_False_True_500_macro_f1_2025-12-07.json,0.6373333333333333,0.4945361642137699,0.6373333333333333,0.5157819225251077,0.4239798683701123,0.3520697167755991,0.5144198524480215,0.6664294609500089
test_results_random_deletion_True_False_True_True_1100_macro_f1_2025-12-14.json,0.7987878787878788,0.591209977514616,0.7987878787878787,0.7022096483098386,0.44610370870902577,0.4758543951676999,0.49848024316109424,0.8334018922254216
test_results_None_True_False_False_True_900_macro_f1_2025-12-17.json,0.7807407407407407,0.5707329704677516,0.7807407407407407,0.7129579004920722,0.525630167372454,0.4644547438632629,0.3295880149812734,0.8210340256296951
test_results_random_swap_False_False_False_True_900_macro_f1_2025-12-16.json,0.7303703703703703,0.538389025084482,0.7303703703703703,0.598141060688901,0.44027392873418814,0.4280412371134021,0.49056603773584906,0.7349228611500701
test_results_random_swap_True_True_False_True_1100_macro_f1_2025-12-09.json,0.7818181818181819,0.5946664898829164,0.7818181818181819,0.7161697247706422,0.5257559047881628,0.46281575693340393,0.4969512195121951,0.7716398434101783
test_results_None_False_False_True_True_600_macro_f1_2025-12-06.json,0.7466666666666667,0.5508817688182328,0.7466666666666667,0.6203636363636363,0.5922801189019059,0.5357097505668934,0.4915254237288136,0.5145299145299146
test_results_None_False_True_True_True_1000_macro_f1_2025-12-08.json,0.6853333333333333,0.48793120920123584,0.6853333333333333,0.6124401913875598,0.4348220769789397,0.40645329169919336,0.494949494949495,0.4909909909909909
test_results_None_False_True_True_True_1200_accuracy_2025-12-07.json,0.7811111111111111,0.5227005839833192,0.7811111111111112,0.6513030447019262,0.4491852772237299,0.4666666666666666,0.4943820224719101,0.5519659088523626
test_results_None_False_False_True_True_1100_macro_f1_2025-12-07.json,0.7951515151515152,0.5550436122764121,0.7951515151515152,0.6965737514518002,0.5797379019688524,0.4535825545171339,0.4954128440366973,0.5499110094075769
test_results_random_swap_True_True_False_True_1200_accuracy_2025-12-16.json,0.8,0.5295064427384404,0.8,0.6999864858777423,0.4541927409261577,0.4475338648000518,0.4972067039106145,0.5486124181776355
test_results_None_False_False_False_True_1100_accuracy_2025-12-06.json,0.7890909090909091,0.5735986453925566,0.7890909090909091,0.5914082687338501,0.5221046028385478,0.45765042150584323,0.4969512195121951,0.7998787143723469
test_results_None_False_False_True_True_1200_macro_f1_2025-12-07.json,0.7966666666666666,0.5888708383158876,0.7966666666666666,0.7076045483736919,0.5654619234838077,0.46409674981103555,0.4986072423398329,0.7085837275710695
test_results_random_deletion_True_False_True_True_1000_accuracy_2025-12-16.json,0.7946666666666666,0.5533782344645362,0.7946666666666666,0.6586505935174365,0.5109041259866083,0.4632190265486726,0.32996632996632996,0.8041510963036334
test_results_None_True_True_False_True_1100_accuracy_2025-12-15.json,0.7987878787878788,0.6656072046326715,0.7987878787878788,0.6482225197084635,0.3924022837066315,0.4934793948878456,1.0,0.7939318248604172
test_results_random_deletion_False_False_False_True_1100_macro_f1_2025-12-14.json,0.7503030303030302,0.5863780607545171,0.7503030303030302,0.6590909090909092,0.5430814165753924,0.44512263099219623,0.48757763975155277,0.797017707362535
test_results_None_False_True_True_True_1200_macro_f1_2025-12-07.json,0.7877777777777778,0.5358392718198168,0.7877777777777778,0.6447988401594781,0.5395717347834218,0.46139545056867887,0.4986072423398329,0.5348230912476722
test_results_random_swap_True_False_True_True_1200_macro_f1_2025-12-17.json,0.8066666666666666,0.5295552911413741,0.8066666666666666,0.6999473591858221,0.4609023422711635,0.4540131246845028,0.4986072423398329,0.5343063872255489
test_results_None_True_False_False_True_1100_accuracy_2025-12-08.json,0.7951515151515152,0.4884625553713435,0.7951515151515152,0.6854746473503621,0.48266328624894356,0.4138996138996139,0.3302752293577982,0.5299999999999999
test_results_None_False_False_False_True_700_macro_f1_2025-12-06.json,0.6647619047619048,0.46651543573526216,0.6647619047619048,0.4435307017543859,0.47375747154671255,0.42247765006385696,0.4951923076923077,0.4976190476190476
