"headline","content","newspaper","date"
"ACÁPITE MANDA: Este columnista cree que el caso Madre Má debe reabrirse.","Est claro que por cuestiones políticas se abrió en el 2011. En ese entonces, Ollanta era el candidato de los políticamente correctos y todos pasaron a olvidarlo. Hoy salen más testigos que lo inculpan, que aseguran que mataron a su orden. Pero como sostiene el periodista de investigación Ricardo Uceda, todos, antes de que la conciencia y el deber los obligaran a hablar, le pidieron miles de dólares al candidato y posteriormente al presidente. Concuerdo con el investigador con relación a que el periodismo ya aportó las pruebas y que de ahora en adelante le toca a la Fiscalía, porque van a salir muchos más ‘testigos’ buscando un ‘arreglito’.","trome","11/05/2017"
"DIARIO CUANDO, MADURO!","La grave crisis económica, alimentaria y de seguridad que atraviesa Venezuela prácticamente hace imposible vivir en ese país. En cuarenta días de protestas, han muerto al menos treinta y nueve personas, la gran mayoría por las balas de los esbirros del autócrata Nicolás Maduro, cuyo régimen de terror y hambre no da para más. En tanto, miles de hermanos venezolanos huyen a otros países como el Perú, en busca de una existencia digna, y muchos se ganan el sustento como vendedores ambulantes. Increíble que un país tan rico como Venezuela, que nada en petróleo, haya llegado a esta situación de pesadilla donde la gente no puede ni comprar papel higiénico. Claro, excepto su familia y una lite de corruptos de ese gobierno, que viven a cuerpo de rey derrochando millones de dólares.","trome","11/05/2017"
"DIARIOS, MAESTRO:","Este Bocho no estila hacer obituarios, pero me entero de que falleció Fernando Maestre. Tuve la suerte de conocerlo. Me interesaba saber cómo un psicoanalista como él, con lo herméticos y exquisitos que eran —había conocido a Sal Pérez en San Marcos.—, aún escribía en Trome. En su consultorio de la calle Arica, en Miraflores, me dijo: ‘Bocho, esto lo hago gratis, cómo quisiera que mis colegas hicieran lo mismo’. Un buen hombre, que descanse en paz. Apago el televisor.","trome","11/05/2017"
"El flaco que llamó la atención","Respondió al nombre de Juan Vargas, quien apareció en el campo principal con 9 kilos menos. Es el peso que ha perdido desde que el DT se hizo cargo del equipo. Selénegó Gil, además que su potencia y velocidad se acercaban al futbolista que el argentino disfrutan las ligas europeas. Luego lo llamó a un costado y charlaron. Le explicó que todo estaba encaminado para que volviera con toda su categoría, pero él pidió por una vez paciencia y quedaron en que parará el debut del Apertura.","trome","11/05/2017"
"EGO MANICERO será reemplazado al suspendido Alexis Gómez, quien acumuló su quinta amarilla.","Terminará fortaleciendo su rendimiento. Josuis Tejada y Alberto Ro fueron convocados por la selección de Panam para los duelos ante Costa Rica y Honduras por el Hexagonal de CONCACAF, el 8 y 13 de junio. El ‘Loco’ entendió el mensaje con humildad y seguirá el planificado por su jefe. Nadie se va gateando. Hoy que Kevin Quevedo y Erinson Ramírez se han convertido en las ‘joyas’ de Alianza Lima y se rumorea sus posibles partidas, desde el interior del club acabaron con las especulaciones. La política es que no se venderá a ningún jugador que no haya cumplido mínimo dos años jugando en el primer equipo. A su vez, se supo que Juan Jayo viajará a Brasil para llevar una capacitación junto al exseleccionador nacional, Paulo Autuori, entrenador del Atlético Mineiro y 20 participantes más.","trome","11/05/2017"
"METIÓ LA CABEZA, MELGAR AVANZ SUFRIENDO A LA FINAL DEL TORNEO DE VERANO","Al empatar 2–2 en la ‘UNSA’ tras levantar un 2–0 en contra ante Ayacucho (5° con 15), en duelo pendiente del Grupo A. Las rotaciones esta vez no funcionaron y la visita sorprendió con goles del argentino Marcos Pirchio (17) y Jesús Arismendi (43). Encima, Emmanuel Herrera falló un penal (47). Pero en el segundo tiempo, Juan Reynoso mandó a Israel Zoga y al colombiano Dawling Leudo a la cancha y las cosas cambiaron. El ‘Cachete’ descontó a los 71′ y el argentino Herrera ya no erró desde los doce pasos (81′). Los rojinegros disputarán el título ante UTC el 21 y 31 de mayo.","trome","11/05/2017"
"LA POLÍTICA ES QUE NO SE VENDERÁ A NINGÚN JUGADOR QUE NO HAYA CUMPLIDO MÍNIMO DOS AÑOS JUGANDO EN EL PRIMER EQUIPO","A su vez, se supo que Juan Jayo viajará a Brasil para llevar una capacitación junto al exseleccionador nacional, Paulo Autuori, entrenador del Atlético Mineiro y 20 participantes más.","trome","11/05/2017"
"ENCUENTRA MÁS CONTENIDO","HIJOS MODAS dedicado a la mujer NECOCOS BELLEZA Todos los días SICOLOGIA SALUD PBLICA CMP 14379 ¿Qué pasa cuando nada que hace la bulimia y sus consecuencias? La bulimia no causa menopausia prematura, aunque es claro que la menstruación puede ser irregular o incluso verse interrumpida debido a las alteraciones hormonales. En algunos casos, puede causar infertilidad, pues no solo se asocia a trastornos emocionales, sino al bloqueo descrito en su ciclo reproductivo, irregularidad, abortos espontáneos y vueltas de mala calidad. Incluso, si la mujer está gestando el riesgo es patente para ella y su descendencia. Además, se pueden presentar diferentes problemas como diabetes gestacional, depresión postparto, disminución del líquido amniótico o deficiencias en el nacimiento.","trome","11/05/2017"
"COMPARTE LAS RESPONSABILIDADES DOMÉSTICAS CON TU ESPOSO","Conversa con tu pareja y juntos elaboren una lista con todas las tareas del hogar (limpieza, lavado, planchado, loncheras de los niños, etc.). Vean en cuál de ellas se puede desenvolver mejor cada uno y repartan las labores en forma equitativa. Si tienes hijos, dales también pequeñas responsabilidades. Practica tolerancia y comprensión. No pienses que tu esposo hará las cosas como tú quieres. Si se equivoca en algo, explícale cómo debe hacerlo para que mejore. No se trata de gritarle y decirle nunca haces nada bien, porque le quitarás las ganas de ayudarte y, además, pelearán. Olvídate de ser la supermam. Ya eres una gran madre, no necesitas asumir todos los roles del hogar sola para que te quieran o valoren. Mejor, témate unos minutos al día y descansa porque te lo mereces. Reconoce el trabajo. Si tu pareja hizo bien algo, díselo. Acompaña esa felicitación con un beso o un abrazo.","trome","11/05/2017"
"DALÍ REALIZÓ SU PRIMER AUTORRETRATO A LOS 10 AÑOS","Salvador Dalí, el destacado artista español nació el 11 de mayo de 1904, se convirtió en uno de los principales exponentes del surrealismo y gozó de una vida excéntrica. Dalí realizó su primer autorretrato a los 10 años, después de la penosa pérdida de su hermano que falleció a los 7 años. El artista contaría luego, en su autobiografía, que naci 3 años después de esa dolorosa pérdida. Su obra más célebre es La persistencia de la memoria, en la que aparecen los famosos relojes blandos. Dalí se trasladó a Estados Unidos en 1940 y a los 84 años falleció en el hospital de Figueres a causa de un paro cardíaco.","trome","11/05/2017"
