"headline","content","newspaper","date"
"¿QUÉ ES LA MEDICINA?","La ciencia encargada de estudiar la vida del ser humano, ocupándose del mantenimiento de la salud a través del diagnóstico, tratamiento y la prevención.","trome","20/06/2015"
"LAS MALCRÍADAS","Jessica, hincha guaraní Nuestro paparazzi está en Chile, donde encontró este bombón cuyo nombre es Jessica y es fiel seguidora de Paraguay, que esta tarde enfrentará a Uruguay por la Copa América. Ella se confiesa hincha del goleador Haedo Valdez, a quien alentar en el mismo estadio para que meta goles.","trome","20/06/2015"
"LOS 14 AÑOS DE TROME","Este día se detiene a observar la Sala de Redacción de Trome. Son las 7 de la noche y estamos en cierre de edición: Desde la calle llegan los bocinazos de los carros que transitan por el jirón Mir Quesada, los pitazos de algún límite que pone orden y la sirena de una ambulancia que transporta a algún trágico accidente. En medio de este caos están ellos: mis colegas. Imperturbables. Con la mirada clavada en el monitor y los dedos que saltan de una tecla a otra con la agilidad de una gacela, escribiendo las noticias que usted leerá mañana. Los observo. Me detengo en los jóvenes. En esa nueva camada que se va cuajando en el mejor oficio del mundo; como diría el entrañable Gabriel García Márquez, Me pregunto: ¿Por qué estos muchachitos escogieron el periodismo como opción de vida? ¿Por qué insisten en un oficio que —según ciertos especialistas— está a punto de extinguirse? ¿Están niocos? Esta columnista cree que para ser periodista hay que cumplir tres requisitos indispensables: pasión, coraje y convicción. Recuerdo a mi prima que quería ser periodista, mi padre se qued mudo. Con el gesto transfigurado por la rabia, me mira los ojos y grita: ¡No seas idiota! Breve, huévano! Siempre he pensado que este oficio no sirve para hacerse millonario, si se trabaja con honestidad. Claro está, salvo para los sinvergüenzas que venden su imagen y pluma a políticos castros corruptos e impresentables. Eso hacen negocios, no periodismo. En este punto podrás suscribir una conmovedora confesión que hace ‘Gabo’ en su libro autobiográfico Vivir para contarla’: “Mis padres durmieron tranquilos desde que les hice saber que en el periódico ganaba bastante para sobrevivir, No era cierto. El sueldo mensual de aprendiz no me alcanzaba para una semana Pero gracias al periodismo he vivido las experiencias más alucinantes que jamás imaginé. Viajar por el río Amazonas durante cinco días en la achacosa lancha Henry V”. Visitar la casa de Gabriel García Márquez en Aracataca, Colombia. Estar en la primera conferencia que dio Mario Vargas Llosa en Perú, luego de recibir el Premio Nobel de Literatura en 2010. Or las desgarradoras confesiones de soldados que participaron en la guerra con Ecuador y que ahora sufren de estrés postraumático. Testificar las crías en una visita a Requena, casi en el límite con Brasil. Cuando publicaba aquellas historias, mi padre era el primero que iba al kiosco por el periódico y lo leía mientras tomaba una taza de café bien caliente. Era el más orgulloso. El periodismo no te llena los bolsillos, pero te llena el alma, el corazón. Las redacciones ya no son como hace 25 años, cuando empecé en este oficio, donde el humo de los cigarrillos inundaba las oficinas y las ediciones se quemaban entre pisos y rodaban cerca de la medianoche. Hoy, las guerreras máquinas de escribir Remington han sido sustituidas por modernas computadoras Apple. Las libretas de apuntes por sofisticadas grabadoras. Las cámaras fotográficas de rollo por las digitales, que pueden tomar más de 20 fotos por segundo. Internet ha cambiado la manera de hacer periodismo, pero pienso que la esencia sigue siendo la misma. El periodista de raza tiene la curiosidad en su ADN. Olfatea la calle. Por eso creo que el periodismo no se puede hacer desde un escritorio, sino gastando las suelas de los zapatos. Hay que subir cerros. Pisar barro. Parece mentira, Trome cumple 14 años y muchos jóvenes universitarios y colegas del extranjero que vienen a Lima, siguen preguntando: ¿Cuál es el secreto del éxito? Es que somos el diario en español de más ventas en el mundo. Nunca en la historia de la prensa peruana, un diario había vendido más de 700 mil ejemplares diarios. Es un fenómeno, incluso estudiado en la prestigiosa universidad de Harvard como un caso de éxito. Parado en medio de la Sala de Redacción del diario y observando a estos muchachos tan concentrados en sus notas, a ratos conversando con sus editores, quienes los guían como sus padres, entiendo que la respuesta es tan simple como obvia: pasión, coraje y convicción. De nada nos servirá el más moderno Smartphone o aparato de última generación, sino contamos buenas historias. En tiempos en que se anuncia que las Tablets vencerán al papel, Trome es un diario que se consolida con un firme crecimiento, pero a la vez trabaja con igual intensidad la parte digital. ¿Porqué? Pasion, coraje y convicción. Gracias a la fidelidad de nuestros lectores. Ustedes son los tromes. Apago el televisor.","trome","20/06/2015"
"De esta manera, nuestros técnicos, en el momento que lo crean conveniente y quieran seguir superándose, entren a la universidad y completen los cursos que les falta, y se graden como profesionales","“De esta manera, nuestros técnicos, en el momento que lo crean conveniente y quieran seguir superándose, entren a la universidad y completen los cursos que les falta, y se graden como profesionales”, afirmó en el estadio ‘Niño Héroe’ Ette necia en su bienvenida a los becarios de Beca 18.","trome","20/06/2015"
"Miles de personas corren regalos para pa Pa","Muchos esperan última hora para ir al Mercado Central, Gamarra, Polvos Azules y otros lugares. Correas, billeteras, camisas y zapatillas entre las preferidas. Desde $7 hasta $40 les, mientras que las billeteras se encuentran a partir de los 20 soles. Asimismo, en Gamarra, los comerciantes rayan con la venta de camisas mangalarga, pullover, sacas y pantalones.","trome","20/06/2015"
"Entre los regalos más caros están los iPhones y televisores de última generación","Entre los regalos más caros están los iPhones y televisores de última generación. Tecnológicos como MP4 o Smartphones. En tanto, tiendas como Saga, Ripley y Topy Top, entre otras, también son abarrotadas por numerosos compradores de última hora. “Las personas siempre esperan el último momento, por eso es probable que mañana (hoy) vengan las zapatillas y aparatos”, precisaron.","trome","20/06/2015"
"En Ate: Secuestran niña de 6 años y la liberan","En la puerta de su casa, una niña de 6 años fue secuestrada por una mujer y un hombre, quienes luego exigieron a su madre Alejandra Angulo (30) 5 mil soles como rescate, en Ate. Horas después, la liberaron. Fue en el asentamiento humano ‘Horacio Zevallos’ y se sospecha de una exinquilina.","trome","20/06/2015"
"En Lince: Ladrón cae por tragaluz del tercer piso y vive","Por intentar huir de una empresa, a la que había robado material de construcción o cables, un presunto delincuente (de unos 50 años) cay por el tragaluz del tercer piso y sufrió fuertes golpes en las piernas, en Lince. Serenos lo hallaron en el inmueble de la cuadra 18 de Paseo de la República.","trome","20/06/2015"
"Alemania: Lluvia de dinero sobre una ciudad","Generalmente— una lluvia de dinero gracias a una inusual iniciativa con un mensaje social de fondo. El asesor financiero Joachim Ackva y su pareja Daniela Tiben soltaron, en el centro de la ciudad, un manojo de globos del que colgaban tres bolsas con unos 3 mil 500 euros (casi 4 mil dólares). Cuando los billetes comenzaron a caer, las personas que pasaban por el lugar se lanzaron sobre ellos. Ackva y Tiben intentaron promover así su idea de una ‘caja común’ para dar ayuda.","trome","20/06/2015"
"Estados Unidos: Muere mujer más viejecita del mundo","Jeralean Talley, quien a sus 116 años era la mujer más longeva del mundo, falleció en su vivienda de Detroit (Estados Unidos). De acuerdo con el Centro de Investigación Gerontológica [GRG], esta afroamericana había nacido el 23 de mayo de 1899, en el estado de Georgia. Hasta los 104 años jugaba a los bolos y le gustaba pescar y cuidar su jardín. Según el Detroit Free Press, era religiosa y no tenía ninguna receta para su longevidad.","trome","20/06/2015"
