"headline","content","newspaper","date"
"Confirmado: Farfán juega","Las ampollas están secas y el ’10’ será de la partida ante los cafeteros. Ya camina normal, incluso participará en el trabajo regenerativo dentro del hotel ‘Sheraton’ en Viña del Mar. La FIFA autorizó a la selección el uso de un medicamento prohibido que contiene corticoides y que permitió su recuperación. “Está casi al 90%. Solo falta que recupere días de trabajo, nada más”, nos cuentan mientras obedecemos la orden de “abranse los cinturones!”","trome","20/06/2015"
"Polémico juez argentino Néstor Pitana será el encargado de impartir justicia en el Per-Colombia","Se anuncia que hoy arribarán cinco aviones llenos de hinchas colombianos. Los vuelos son desde Argentina.","trome","20/06/2015"
"Es lo que las chicas le gritaron a Paolo Guerrero","Desde las tribunas en el choque con Venezuela. Incluso le propusieron matrimonio. Diario ‘Últimas Noticias’ lo ha declarado: ‘Bello’ y lo describe como ‘de belleza indiscutible’. Obviamente, el Depredador no habla del tema, solo piensa en vencer a Colombia. ‘Hay que creer que se puede, luchar hasta el final. A los que creen en la selección, que sigan alentando; a los que no, les digo que vamos a hacer todo para clasificar’, sentenció.","trome","20/06/2015"
"Paraguayo Haedo invita Zambrano a FIFA 2016","Valdez, se olvidó un momento de la Copa América para apoyar a su amigo y compañero del achter Frankfurt de Alemania, ‘Hola, soy Nelson Valdez (16), les invito a que voten por mi amigo Carlos Zambrano de Perú para que sea portada de FIFA 2016.’","trome","20/06/2015"
"PELIGRO AL VOLANTE","ee Miamigo, el fotgrafo Gary, lleg al restaurante poruna ensalada defideos conarvejitas, huevo duro, jamn, topicado, aceitunas negras, perejil, mayonesa y nar, unapierna deshuesada de pollodoradita y da. Mara, resulta increblelohecho porlaabogadaAna drguezSalazar, de 34 aos, quien luego desalirde una reunin en la que hababebido alcohol, agarrsuautoy choca otro carro, sedioalafuga, fue intervenidaporlaPolica, y alvolverafugar arrollatresagentes ychoca unamoto policialala quejjarrastrcercadediezcuadras!   Entodoesetrayectocolision conotros vehculos, incluido un bus, y desobedecide formareiteradalasrdenesdedetenerse. Esunmilagroquelos efectivosatropelladosno hayan sufridolesionesseriasnique hayahabido muertos.   Quepasaestaseoraparacometersemejanteacto? Nohablamos deun ladrn sinnada que perdery queescapaba delajusticia, nidealguiensinninguna educacin quedesconocesusderechos, obligaciones y losdelitosenqueestabaincurriendo. Setrata, precisamente, deuna abogada, unaespecialistadel derechoquesehadesprestigiado pblicamentecomoprofesionalycomopersona. Larespuesta paratantalocurapareceserelconsumo dealcohol. Cincohorasdespus de los incidentes, lehicieron el dosajeetlico que resulten 1,8gramos dealcohol porlitrodesangre. Cuandoellmite legal permitidoesde0,50gramos!  Si no hubierabebido, cintanenajenada.  Losmdicossealanqueelconsumoex seguramentenohabratenidoestareaccesivodealcoholinhibolasfuncionesdelareginfrontaldel cerebro, porloquedisminuyelamemoria, lacapacidad de concentracin y elautocontrol. Precisamente, estoltimo, la falta deautocontrol, esloquemostr laletradaquefuepuestaa disposicindelaFiscaliaacusadodelosdelitosderesistenciaala autoridad conviolencia, lesiones, peligrocomnyabandonode personasenriesgo. Ayer, unjuzgadodictsuinternamientoen unaprisin, mientrasafronta un jarlatraslasrejas poralgunos aos. Unalstimaqueestapersonamalogresuimagen deformatantonta. Almanejarebria cometiunairresponsabilidad total, quelepudocostarlavida aellayaterceros. Lomstristeesqueestenoeselunicocaso. Ennuestropas, lamentablemente, adiariohaychoquesconmuertosyheridos, ymuchosdeesos casosson porelalcohol. Segnstudies, al ao en Peru,muerenmsde3mil600 personas por accidentesenlaspistas y, entrelas principalescausas, figuranel consumo dealcohol, tarlasreglas. Poreso es doblementegravelohechoporlaabogada. Nadiequierehacerleadelrbolcado, peroquesirva deejemploparaaquellosquetienenlaasesinacostumbrede manejarebriosGarytienerazn, Mevoy, cudense.","trome","20/06/2015"
"AL FIN PIZARRO SE HIZO UNA... AHORA A GANARLE A COLOMBIA!","Puésguestoalitegque Indignados por conejillos de Indias e Noesposibleque la industria farmacuticautilicea lapoblacin pobre e indgena para hacer sus experimentos clnicos. Que lohaganen sus pases de origen ynocon los indigentes, que aceptan por un plato de lentejas. Alguien tiene que ponerfreno a este asunto. Noes posiblequehayanhecho esocon 3millones.  Casos Manuel Uriarte M. — uriarte_mora3535yahoo.es  Ms de 3millones, captados en hospitales cosypostas mdicas, participanen dicosa cambio deuna canasta de alimentos. El gobierno yaordenla suspensindeestosensayos.  Sorprendido por moda de discos de vinilo e Hevisto, enalgunos catlogos de lastiendas deartefactos, queestanofreciendo tomamesas paradiscos devinilo. No entiendo que, en plena era digital, se tosaparatos que ya hanpasado a lahistoria. Tal vez lamodaretro intente rescatarlos, porque se ven comoadorno, pero no creoque tengan muchautilidad.  Almando Maldonado — amaldo2 Ivocedirghotmail.com  Enotros pases, los discos devinilo seestn viendo aponer de moda. En 2024 se vendieronenEstados Unidos 9,2 millones de long plays. Para los buenos amantes de la msica, echarlos a sonares todo un ritual.","trome","20/06/2015"
"SICARIOS LO ASESINAN CUANDO IBAA EN SU MOTO","A plena luz del da y despus de haber dejado a su hijo en el colegio, el padre de familia Guillermo Snchez Rojas (40) fue acribillado de seis balazos por dos sicarios en moto que fueron enviados por miembros de la banda criminal Los chimbotanos, en Comas.  El crimen fue a las 7:25 de la maana cuando Guillermo Snchez iba solo en su moto Li Fan, de placa AO2–418, por la avenida Retablo, pero al llegar al cruce con Belaunde fue interceptado por otra moto lineal con dos ocupantes. El pistolero, que iba de copiloto, dispar a su vctima hacindola caer a la pista y la remat. La rfaga de disparos alert a los vecinos, quienes llevaron al herido al hospital Sergio Bernales; donde Snchez, culp a la banda Los chimbotanos del atentado y dijo que hace cuatro meses su vstago haba sido amenazado de muerte. Esos delincuentes crean que mi hijo estuvo en el auto que choc contra un vehculo de un integrante de esa banda, aadi. Anteriormente esta misma banda habra asesinado al hermano de Darwin.","trome","20/06/2015"
"SE QUEMA EN SU CARRO","La madre de familia Fabiana Stagnaro de Castillo (65) encontr trgica muerte en su automvil A6U097, cuyo interior estaba rociado con gasolina, que se incendi cerca de un parque de la urbanizacin Sol de La Molina. La polica investiga si la mujer atent contra ella misma o fue atacada por terceros.","trome","20/06/2015"
"ATACO A LA MODELO SERA VENGANZA","As es la cosa. En enero pasado, en la puerta de la casa de Andrea Crisstomo, dejaron un explosivo dentro de una bolsa. Esa es la principal sospecha que maneja la Fiscalía, tras entrevistarse con la agraviada y realizar las primeras investigaciones en la cuadra 1 de la calle Los Giranios, donde se produjo el hecho. Ese pariente de la modelo ser mujer comerciantede drogas hace meses. Adems, los investigadores buscan cmaras de seguridad de casas y negocios adyacentes al garaje siniestro para saber si hubo otros testigos, pues algunos dijeron que minutos antes de iniciarse el fuego observaron caminar a un hombre con un beb en brazos y un varn. Durante los interrogatorios, el sospechoso Oscar Oswaldo Ulloa Arana (39) neg ser el autor del ataque al Nissan, March, de placa A20–464, ocurrido la medianoche del jueves. Y no he sido, dijo ayer mientras era trasladado a la Fiscalía, pero las autoridades no le creen pues, cuando fue atrapado, llevaba nasales tapadas con papel aluminio por quemaduras. Sobre el sospechoso, se inform que en abril pasadofue intervenido por la polica luego de intentar robar en un tendero odontolgico de Jess Mara.","trome","20/06/2015"
"DUENO SE SALVA","Una Cster de transporte pblico se estrell aparatadamente contra una casa y destroz parte de la pared, en Independencia. Cerca de las 3:50 de la madrugada, Erick Flores Gonzales, al volante del vehculo AZW714, de la lnea que cubre la ruta Independencia–Callao, bajaba la pendiente del jirn Santos Chocano en el Ermitao Alto. Por motivos que la polica investiga, perdi el control de la unidad y acab empotrado contra la pared de la casa del jirn Lima 340, llevndose un muro de contencin. Una columna de concreto impidi que la Cster ingresara totalmente al interior del cuarto donde Welsshen Briones Quijano (52) dorma. Tres ladrillos me cayeron, tena miedo de morir, dijo. El delincuente result con tres quemaduras en las manos, pero fue capturado por la polica.","trome","20/06/2015"
"Con facultades ‘Habr mejor lucha contra sicarios’","El Congreso le dio al gobierno, para legislar en materia de seguridad ciudadana por 90 días, permitirán una mejor lucha contra los sicarios y extorsionadores”, aseguró el ministro del Interior, José Pérez Guadalupe. Precisó que una de sus prioridades será tipificar el sicariato como delito autónomo “tal como hizo este Congreso con el feminicidio”, y así aumentar las penas contra estos delincuentes.","trome","20/06/2015"
"Orden judicial","La Comisión de Ética del Colegio de Abogados de Lima iniciará la investigación contra la abogada Ana Rodríguez, en las próximas horas será llevada a la cárcel de Pañuelo, mientras el Instituto Nacional Penitenciario determinará el riesgo de fuga penal donde deber ser recluida. En esta diligencia, el fiscal de la Primera Fiscalía Provincial Penal de Lima, Daniel Collazos Huarachi, quien pidiera detención preventiva de la abogada, señaló que su requerimiento proceda por los tres efectivos policiales. La acusada será juzgada por los delitos de resistencia a la autoridad (violación a la integridad física) y omisión de socorro (abandono de personas en peligro).","trome","20/06/2015"
"Sus padres los buscan","Gustavo Peña afirmó que ese día, su hija Yadira huyó de su casa, en Ica, y se llevó más de mil soles que ella misma había ahorrado de sus propinas. Temen que le pase algo malo a su hija, a quien le pidió que se comunique con él para volver a casa.","trome","20/06/2015"
"En tres primeros meses ponen 42 mil multas a taxistas","Desde enero a mayo de este año, la Gerencia de Transporte Urbano (GTU) impuso infracciones. Esta cifra triplica las sanciones del año pasado. Las faltas más frecuentes son: circular sin la autorización de la GTU y brindar el servicio de colectivo. El mes en el que se impusieron más papeletas fue mayo.","trome","20/06/2015"
"Casos Orellana","Se entreg Robinson Gonzales Campos, el exvocal supremo acusado de encabezar el brazo legal de la red criminal de Rodolfo Orellana, se entregó ayer a la justicia, luego que se volvió a dictar su detención en la investigación que enfrenta en el Ministerio Público. Que sigan investigando, nosotros tenemos presunción de inocencia. Tenemos derecho a defendernos, dijo Gonzales antes de ingresar a la Dirandro.","trome","20/06/2015"
"A balazos","Agentes de la Policía arrestaron a Katherin Paola Paola (22), Jesús Rodríguez Vega (28) y Jonathan Martínez Sierra (29), acusados de integrar una banda de raqueteros que asaltaba en un auto con placa falsa, en Comas. Cayeron tras despistarse cuando se enfrentaban a efectivos del Escuadrón de Emergencia Norte entre la avenida Túpac Amaru y el jirón Talleres. Rodíguez, chofer del auto, fue herido de bala y Martínez qued contuso.","trome","20/06/2015"
"Dicen no! A la violencia","Vecinos de Comas marcharon por la paz. Pobladores y autoridades de Comas marcharon por las principales calles del distrito para exigir paz y que se acaben los actos de violencia. Con pancartas y banderas blancas, los pobladores dijeron que lucharán para que cesen los actos violentos.","trome","20/06/2015"
"Entregan facturas","El conocido mercado de autopartes San Jacinto, en La Victoria, ya se encuentra totalmente renovado. El jefe de la División de Protección de Robo de Vehículos, coronel PNP José Zapata Morante, indicó que se está realizando una Expoferia de Autopartes 2015 en la que ya se entrega boleta o factura al comprador. De los 220 locales, ya se han cerrado casi cien. Los comerciantes son los que quieren formalizarse y nosotros los apoyamos.","trome","20/06/2015"
"Miles de personas corren por regalos","Muchos esperan la última hora para ir al Mercado Central, Gamarra, Polvos Azules y otros lugares. Correas, billeteras, camisas y zapatillas entre las preferidas. Entre los regalos más caros están los iPhones y televisores de última generación. Tecnológicos como MP4 o smartphones también son populares.","trome","20/06/2015"
"En Ate Lince","Secuestran niña de 6 años y la liberan. Un ladrón cayó de tercero.","trome","20/06/2015"
"Promoción válida en tiendas Plaza Vea","Que cuenten con sección electro. No incluye Son Jorge. Adicional condiciones y restricciones en motivo polizovéxico como: Promoción exclusivo con Target del 20 al 26 de Junio del 2015 o hasta agotar stock. Máximo 2 unidades por cliente en electro y 61 unidades por cliente en coloniales. No válido para venta de mayoreo. No acumulable con otros promociones de Target o Para mayor información sobre términos, condiciones y tarifa de la Promoción véase vigente visita website.com.pe. Esta información se proporciona conforme a lo normativo de transparencia SBS N° B161—2012.","trome","20/06/2015"
"Todos los días inscríbete en Tu número de la Suerte","Llama al 710—0260 o en www.trome.pe. Inscripciones todos los días de 7:00 am. a 6:00 pm. Sorteos: 7:00 p.m. Con ‘Esper llamada ganadora’ – ¡ganás 5 mil soles del sorteo! Mañana sale el... Restaurantes! Número de la Esper llám: y ss. Por una esper llámada – regalazo delos lanzan of y 3 y más. Solo tienes que inscribirte llamando al 710—0260, en nuestra web (www.trome.pe) o mandando un mensaje de texto al 2436. Ganaron: Andrea Rivas (5362499, de La Molina), Anorea Avila (5240490, de Jesús María). Además, el último domingo, Luis Cárdenas (5827439, de San Miguel) y Rosa Santos (sexraso, de Jess Mar). Inscripciones todos los días de 7:00 am. a 6:00 pm. Sorteos: 7:00 p.m.","trome","20/06/2015"
"‘Raspadita’ vuelve con dinero en efectivo","Este martes vuelve a salir la tremenda promoción ‘La raspadita de Trome’, con la que ganás dinero en efectivo de manera divertida como jugando y en un santiamén. Son 40 premios de 500 soles, 60 de 250 y 150 de 100. MAR CALIENTE. Fenómeno de El Niño hasta el verano. Gracias por darnos información, entretenimiento y grandes regalos, expresó uno de ellos en el pasamán Acua, centro de Lima, donde se concentraron para dar hurras por nuestro diario. Agradecemos también las muestras de aprecio a Llorente y Cuenca, Apoyo Comunicación, Pacífico y Coca-Cola, entre otras empresas y personalidades que nos saludaron.","trome","20/06/2015"
"Según ministra, no habrá alza del balón de gas","La situación de desaturación del mar, se debería a la muerte de gaviotas en los últimos días. Les pido a las amas de casa que no se dejen engañar, el gas no va a subir y estamos haciendo todo para que baje de precio, expresó. Estimó que el aumento de precio solo sería de 60 centavos, en el caso de concretarse. Sin embargo, los distribuidores de gas advirtieron que el precio del balón de gas subirá entre 4.70 y 6 soles, en las próximas horas, porque se comenzará a usar el gas importado.","trome","20/06/2015"
"Tomar bebidas alcohólicas en exceso es daño para la salud","Adquirelas en desde nuestras tiendas S/. T -._u“xxxx_) que= año. Ofertas válidas el 20 al 21 de Junio del 2015 o hasta agotar stock en plazaVen. En Ofertas de 34 y 50 producto con descuento no de productos, marca y en % adicional con Tarjeta válida del 20 al 21 de Junio del 2015 o hasta agotar stock máximo 05 unidades por cliente. No válido para venta mayorista. No es acumulable con otros promociones ni precios rebajadas con Tarjeta. Para mayor información sobre Términos, Condiciones y Tarifa de la Promoción véase vigente visita website.com.pe. Esta proporciona conforme a lo Normativa de Transparencia SBS N° B161—2012. Legalidad regular: “Cargo mínima 5720 con efectivo o Tarjeta de crédito/débito No válido con vuelos de consumo netras facturas regulares. Puedes usar en todas nuestras tiendas Venta y plaza Ven a nivel nacional. Este es un servicio gratuito para nuestras clientas. Producto y diseños sujetos a modificación sin previo aviso. Mercadería en nuestras tiendas de Lima y provincias. No incluye concesionarios. Puede consultar su saldo disponible en nuestros tiendas y uso en varias compras mientras A | … Vénganse de moda en nuestras tiendas de Lima y provincias. Noseda…m…me fedem…ddmw&o—… 625—8000. Ahorra más, disfruta más.","trome","20/06/2015"
"Por unanimidad, la Comisión aprueba variar la situación de la Primera Dama","Redia, quien pasa condición de investigada. Segundo Tapia (Fuerza Popular) indicó que la inclusión de la esposa del presidente Ollanta Humala obedece a sus vínculos con él, siendo objeto de investigación (Todo grafía, soras y aportes al nacionalismo). El nacionalista lo Gamarra calificó el hecho como un atentado metiendo un asesinato al Estado de derecho, a los principios del debido proceso y derecho a la defensa legal adecuada. También se está investigando a Arturo Belaunde Sojo y Roxana Manzaneda y expareja del lobista encarcelado, respectivamente. Mientras tanto, Rocío Calderón, amiga de Heredia, será citada para comparecer ante la Comisión.","trome","20/06/2015"
"Cómo hacer el retiro de la CTS","Como ocurrió el año pasado, ahora los trabajadores podrán disponer del 100% correspondiente de cuatro sueldos acumulados de CTS, según la ley aprobada en el Congreso, que también fijó como permanente la exoneración de los impuestos a las gratificaciones. Ahora, el empleado debe seguir varios pasos para hacer el retiro, si así lo desea. Debe comunicar por escrito a su empleador su decisión de disponer de sus depósitos por CTS. En un plazo, que puede ser de cinco días hábiles, el empleador informar por escrito a la entidad financiera el monto de las cuatro remuneraciones y esa comunicación puede ser realizada por el propio trabajador. La entidad financiera fija el monto líquido de disposición, de acuerdo con la información proporcionada por el empleador. Se espera que el Congreso promulgue la ley y se tablece una tasa que regule el retiro de la CTS.","trome","20/06/2015"
"Desayunar bien permite una correcta distribución de las calorías","Sustituye lo frito por lo asado. Evita los alimentos fritos o que se rehoguen con mucho aceite. Por las noches ingiere alimentos ligeros que no alteren tu sueño, como verduras en abundancia (en ensalada, cremas frescas, a la plancha) y acompáñalas con una porción de proteínas como pescado, huevos o embutido bajo en grasa. Algún lácteo y una pequeña porción de pan.  Ayuda en el mantenimiento de un peso adecuado y mejora la calidad de la alimentación.","trome","20/06/2015"
"Para facilitar la digestión, come despacio","Nutricionista Nestlé Perú explica que el comer despacio, sin distracción, ayuda a que la experiencia se vuelva más placentera. Sumado a ello, se permite beber agua, masticar mejor y evitar comer de más. El nutriólogo Gerardo Bouroncle indica que dejar de lado, al momento de comer, el celular o el televisor y establecer conversaciones distendidas pueden reducir el estrés. Además, la textura, el aroma, el gusto y el color de los alimentos son aprovechados mejor cuando se come despacio.","trome","20/06/2015"
"Ingredientes para Papas a la Crema","3 +600 gr de papitas corté, 1 +3/4 de litro de aceite, 1 +4 dientes de ajo picados, 1 +2 cdtas. de vino blanco, 1 +1 cdta. de perejil picado, Sal.  Preparación: Corte las papas por la mitad sin pelar. Vierta el aceite en una sartén, lleve a fuego alto y fría las papas hasta que estén doradas. Escurre y reserva. Pon una sartén sin aceite a fuego bajo, eche el ajo, el vino blanco, el perejil, sazone con sal e incorpore las papas. Saltee durante 2 minutos. Sirva como acompañamiento de un filete de pollo, carne de res o pescado.","trome","20/06/2015"
"Trome celebra hoy un nuevo aniversario","Informando de manera veraz, objetiva y con sano entretenimiento a nuestros miles de lectores, que han colocado al diario de las familias peruanas como el matutino de más ventas en el mundo de habla hispana. Este logro nos compromete a seguir esforzándonos para darles lo mejor. Salud, con ustedes!","trome","20/06/2015"
"Modelo de El último pasajero es hincha número uno de Trome","Asegura que nunca deja de comprar el diario porque ‘sino lees Trome, estás desinformada’. La Chinita contó que Trome es el preferido de los peruanos, porque ‘en sus giras por el interior del país, siempre ve al público leyendo el diario’.","trome","20/06/2015"
"Popstar Hombre Roca no deja de leer Trome","‘Me gusta la sección de Fiesta y Deportes, además, no desinforman con supuestos, pues siempre entrevistan al protagonista de la noticia’, menciona. Christian Domínguez destaca que Trome siempre apoya al músico nacional, especialmente a los exponentes de la cumbia, ‘Gracias por todo y que sigan liderando por muchos años más’.","trome","20/06/2015"
"Ex Miss Perú también nos felicitó","‘Trome es mi diario favorito porque siempre me mantiene informada de lo último que pasa en Chollywood’, dice. Johanna San Miguel aclara que aunque perdonó a Guty González, sigue adelante con su curso legal, ‘América y la producción de “Esto es guerra” me dan su respaldo. El proceso continúa, pero yo dentro de razón lo he perdonado.’","trome","20/06/2015"
"PIDIÓ CALMA A JUGADORES Y QUE SE CONCENTREN EN COLOMBIA","Ricardo Gareca dejó que los jugadores celebraran después del partido con Venezuela en el hotel con alegría, risas y bromas. Ayer, al mediodía, puso las cosas en orden otra vez, Esto ya pasó, ya liberaron tensiones. Hay que estar concentrados para enfrentar a Colombia, asegura que les aconsejó el Tigre.  Durante el vuelo de regreso a Temuco, nos cruzamos con el entrenador. Ahora sí pudo dormir tranquilo, profesor?, le preguntamos. No tanto, pero mejor que el otro día, responde. La concentración ha vuelto a la normalidad.","trome","20/06/2015"
"PARAGUAYO HAEDO INVITA A ZAMBRANO PARA FIFA 2016","Hola, soy Nelson Valdez, se olvidó un momento de la Copa América para apoyar a su amigo y compañero del Atlético de Frankfurt de Alemania, Hola, soy Nelson. Les invito a que voten por mi amigo Carlos Zambrano de Perú para que sea portada de FIFA 2016. Expresó en un video que grabó en el hotel de la concentración guaraní y donde se le ve con la camiseta del Atlético de Madrid. Para votar por él solo tienes que ingresar a www.fifa.com/vote.","trome","20/06/2015"
"CONMEBOL CASTIGÓ CON 4 FECHAS A NEYMAR Y QUEDARÍA FUERA DE LA COPA AMÉRICA","Santiago de Chile.— En la concentración de Brasil estalló una bomba y aún no saben para dónde correr. El Comité de Justicia de la Conmebol determinó que Neymar recibiera un ejemplar castigo de cuatro fechas y un pago de 10 millones de dólares por su expulsión ante Colombia. El 10 quedar fuera de la Copa por un cabezazo contra el rocolombiano Jeison Murillo y tirar un balón, en la espalda de Pablo Armero, cuando había acabado el partido. Además fue grosero con el árbitro, quién dio un informe lapidario: Me esperen el teléfono y me dijo hijo de puta. Dijo el juez Enrique Osses. Por expulsión y los hechos ocurridos, resumi el comunicado posteriormente. Se conoció que el fallo del capitán del Scratch es apelable dentro de las próximas 24 horas. Pero no el de Carlos Bacca, quien recibió dos fechas de suspensión y 5 mil dólares de multa.","trome","20/06/2015"
