"headline","content","newspaper","date"
"LOS PETROAUDIOS","Por: ELBHO Este Bho habr nacido de noche, pero no anoche. No hay que ser inocentes. El dominicano Fortunato Canan venía a hacer lobbies millonarios al Perú. Sus tentáculos llegaron, al parecer, a un receptivo presidente Alan García. Él, en audiencia en el Poder Judicial, el líder aprista dijo que lo recibió por consejo de una periodista dominicana. Por favor! Peor, si su Primer Ministro Jorge Del Castillo se fue a meter al mismo cuarto del empresario. García Pérez se escuda en las estadísticas. Recibió a mil 500 empresarios. Fue un ping–pong, pues así como Canán ingresaba a Palacio por la puerta grande, el Premier lo visitaba en su alcoba y hablaba con el viejo que lo recibía en pijama. No en política, los peces grandes se comen a los chicos. Como sucedió en el primer gobierno aprista con Agustín Mantilla. Alan, que había recibido dos veces a Canán, sacrificó a Jorge del Castillo. Después, en lugar de seguir investigando hasta dónde llegaba esa red de corrupción gubernamental, se dedicaron a cerrar una caza de brujas de los chuponeadores. Era como decir, yo estoy delinquiendo estando en el poder, pero si tú me descubres, te vas preso porque lo que hiciste fue ilegal. Los famosos petroaudios solo sirvieron para poner tras las rejas a los responsables del chuponeo, pero nunca a los verdaderos peces gordos. Eso sí, los diálogos en este drama fueron tan jugosos que acapararon la atención de la prensa y quedaran para la historia de la infama. Como este, entre Alberto Quimper y Ernesto Aras Schreiber: —AQ: Pide 300 la los noruegos de Discover Petroleum) y de repente muere en 210, —EAS: Ya, correcto. —AQ: Ya, ve tú. Saca lo máximo. —EAS: Ya, ya, yo llevo el bistur. —AQ: Ya, tú llevas el bistur. Y este otro entre Quimper y Rómulo León: —AQ: Hay que mandarles una operada (a los noruegos), que es el momento. ¿Cuándo se van ellos? —RL: Mañana en la noche. —AQ: Ya, ya. Hay que darles una operada antes de irse. —RL: ¿Cuándo los operamos? —AQ: Una operación sin anestesia, ya? También esta conversación entre los mismos Quimper y Rómulo León: —AQ: Muy bien todo, hermano. Están contentos ellos, ah. Es que hemos hecho un faenón. Ha concluido hasta el Servicio de Inteligencia. [...] Oye, hemos hecho un equipo de la gran p..., hermano. Ahora hay que cobrarles el honorario de éxito. —RL: Y cómo hago para cobrar esa huev...? Apaga el televisor.","trome","25/06/2015"
"MARTINS COMPARA A PERÚ CON ITALIA","Temuco, Chile (por Carlos Manayay, enviado especial).— Nos revientan cohetes. El delantero Marcelo Martínez Moreno, figura de la selección boliviana, comparó a Perú con un país cuatro veces campeón del mundo. Tienen una selección que son como Italia, te hacen goles si les das ventaja, salen jugando muy bien, tienen jugadores que aguantan muy bien el balón arriba, subrayó el goleador verde.","trome","25/06/2015"
"BAJAJ MOTORCYCLES","NA","trome","25/06/2015"
"ORTIGOZA BUSCA EL MILAGRO","IZCOLOMBIA ENTRENÓ A PUERTA CERRADA Santiago de Chile.— No han servido la mesa, pero él está pensando en la siguiente cena. El brasileño William tiene la mente puesta en la siguiente fase, pese a que aún no juega con Paraguay: Brasil y Argentina es un clásico que todos soñamos jugar. Si eso ocurre en la Copa América, será muy bueno. Messi es un ídolo que no tengo palabras para describir. Si no tenemos cuidado, pueden darnos mucho trabajo, tranquilizó el volante del Chelsea, quien también agregó: Comparación, aclaró. Sin embargo, no se confía de los guaraníes. Si no tenemos cuidado, podemos darles mucho trabajo, advirtió el volante del Chelsea.","trome","25/06/2015"
"CHILE JUGARÁ LAS SEMIFINALES","Con lo justo por 1–0 a Uruguay, con un polémico arbitraje, y avanza a semifinales de la Copa América 2015 dejando en el camino al último campeón, quién disputó un torneo nefasto con una expulsión. Las salidas del ‘Matador’ Cavani por doble amarilla alos 63 por un leve manotazo a Gonzalo Jara, que previamente le había metido la mano en el trasero, abrió el camino de la ‘Roja’ hacia la victoria en Santiago de Chile.","trome","25/06/2015"
"ALEXIS SÁNCHEZ","Ahora toca Bolivia o Perú, pero estamos tranquilos con que nos toque cualquiera.","trome","25/06/2015"
"DESCUBRE QUÉ TE IMPIDE ENTREGARTE AL AMOR","Por Mariela Celis ¿Acaso hay mujeres que sueñan con enamorarse y tener un noviazgo feliz, pero están tan preparadas para vivir para siempre solteras que no paran de buscar excusas para no atreverse a abrir su corazón? ¿Te pasa algo similar? El psicoterapeuta Tomás Ángulo, en su libro El amor en tiempos modernos, identifica a quienes tienen las puertas de su corazón cerradas y cómo advertirlas para resolverlo.  Quizá eres demasiado perfecta. No superas una ruptura sentimental traumática y de alguna manera caminas hacia el amor con demasiada cautela. Tu progreso es: Todos los hombres son iguales. La paciencia puede ser una forma de ayudarla a seguir avanzando. Identificar este principio es importante para aclararlo.","trome","25/06/2015"
"LA RECETA DE HOY: POTATO A LA NARANJA","+1 cdta. de azúcar rubia +Ajo amarillo molido +Aceite, sal y ajo molido +Un poco de agua, el jugo de naranja, el kion rallado, +1/2 kg de papa +1 vaso de jugo de naranja +1 cebolla pequeña dorada +1/4 cta. de kion cuadritos +1 cda. de maicena  Preparación: Lava la papa y córtala en tiras delgadas. Aparte, dora los ajos, la cebolla en cubitos y el ajo amarillo. Sazona con sal. Incorpora la papa y la maicena disuelta en agua, mueve para que no se formen grumos. Cocina unos minutos más y listo. Puedes servir acompañado de papas sancochadas y arroz graneado.","trome","25/06/2015"
"NIÑOS, JOVENES Y ANCIANOS SON LOS MAS AFECTADOS POR INFLUENZA EN EE.UU.","Los casos disminuyeron, pero ello no significa que debamos bajar la guardia. Es importante seguir fomentando la prevención contra la influenza un año al otro, especialmente antes del invierno. Vacúnate contra la influenza una vez al año y antes del inicio del frío. La población más vulnerable son los menores de tres años, adultos mayores, gestantes, pacientes con males respiratorios crónicos. Mantén ventilados los ambientes donde estés, lávate las manos con agua y jabón después de ir al baño, al momento de estornudar o toser, limpia tus manos, nariz y boca con un pañuelo desechable y trata de evitar contacto cercano con personas enfermas.","trome","25/06/2015"
"LAS MUJERES HICIERON GALA DE SU DESTREZA CON EL BALÓN","Las mujeres hicieron gala de su destreza con el balón, pues incluso realizaron jugadas de taco y paradas de pecho. Las mujeres salieron rosas pese a que el equipo rival estaba integrado por jugadores de la selección peruana de fútbol rápido, entre ellos el dorado histórico de Alianza Lima, Waldir Sáenz, Oswaldo Araujo, ‘Pocholo’ Hernández, Christian Conde y otros.","trome","25/06/2015"
