"headline","content","newspaper","date"
"SI SE PUEDE VAMOS A GANAR. SI EL PERÚ NO ESTÁ, TODO ES POSIBLE. SI SE PUEDE","Si se puede afirmó Cinthya Quintana, capitana del equipo ganador quien confía en que hoy la selección peruana derrote a Bolivia por los cuartos de final de la Copa América. La directora del penal, Thais Avila, quien organizó el evento, destacó el entusiasmo de las internas, quienes decoraron con mucho colorido los ambientes del centro de reclusión.","trome","25/06/2015"
"ESCAPADA DE PERIODISTAS","Un periodista fue detenido por la policía cuando bajaba de un automóvil a la entrada de su casa, lo que molestó a ella y su hija Morgana. Prohibido ingresar a la propiedad, dijo fastidiada Patricia al reportero del programa Salvaje de Medios españoles informan que Vargas Llosa pidió el divorcio a Patricia, además de una pensión mensual, lo que ella rechazó pues, se afirma, cree que la relación (que habrá comenzado hace cuatro meses) es pasajera y él volverá.","trome","25/06/2015"
"*LOS OLIVOS ROBADOR DE CHAMÁN DETENIDO","Paul Gonzales Kacique (33), extrabajador del conocido chamán Jesús Villanueva Ramírez (60), El huánuqueño, fue arrestado y acusado de robar 33 mil soles en joyas y dinero de la casa de su exjefe, donde realizaba sus sesiones de santera, en Los Olivos.","trome","25/06/2015"
"*MINISTERIO DE JUSTICIA LANZA CAMPAÑA CONTRA ABUSO SEXUAL","La Dirección General de Defensa Pública y Acceso a la Justicia programó para hoy y mañana la Campana nacional contra el abuso sexual con el lema Denunciar es tu derecho, defenderse nuestro deber’. Más de mil ochocientos abogados darán orientación legal y asumirán defensa gratuita de las víctimas. En Independencia, una joven contadora fue aprehendida por resistirse al robo de media cuadra de su casa, su cartera, donde guardaba sumas moderadas de dinero.","trome","25/06/2015"
"MUERE CANTANTE DEL ÉXITO BARA BARA","Brasil quedó conmovido por la muerte del popular cantante Cristiano Arajo, de 29 años, en un accidente de tránsito en el que también pereció su novia, la artista Alanna Coelho Pinto de Moraes, de 19 años. El artista volvía de madrugada de un concierto, en el estado de Goiás, cuando volcó su camioneta Land Rover manejada por su chofer que se salv. Cristiano Arajo gan fama por su éxito Bara Bara.","trome","25/06/2015"
"PERÚ VS. BOLIVIA: ANTE LAS BAJAS, SE RECONFIGURA EL PLANTEL","Ante las bajas de Josépmir Ballón y los Lobatos por suspensión, Ricardo Gareca se vio obligado a mover las piezas. Sin embargo, en los últimos días ensayó con Edwin Retamoso y Yoshimar Yotún en la primera línea de volantes, el Tigre finalmente se habría recuperado decididamente por Correa o el Sanchezy Farfán para que Jefferson Farfán vaya por derecha mientras que Yotún tendrían arriba al udi Pizarro y el Depredador, motivado con la llegada de su novia Alondra. Yoshi será titular, mientras que Retamoso irá al banco.","trome","25/06/2015"
"MARCELO MARTÍNS COMPARA A PERÚ CON ITALIA","Nos ven lindos. El delantero Marcelo Martín Moreno, figura de la selección boliviana, comparó a Perú con un país cuatro veces campeón del mundo. Tienen una selección que son como Italia, te hacen goles si les das ventaja, salen jugando muy bien, tienen jugadores que aguantan muy bien el balón arriba, subrayó el goleador verde.","trome","25/06/2015"
"Compaa Minerales Santander S.A.C. PAGO DE CUOTA PLAN DE REESTRUCTURACIN","En cumplimiento de lo acordado en junta de acreedores de Compañía Minerales Santander S.A.C., de fecha 19 de marzo de 2012. Ponemos en conocimiento de todos los acreedores de compañía Minerales Santander S.A.C., con crditos reconocidos ante INDECOPI, que los cheques correspondientes al pago de la cuota Junio 2015 estarán disponibles a partir del 25 de Junio. En tal sentido se invita a todos los acreedores de Compañía Minerales Santander S.A.C., con crditos reconocidos ante el INDECOPI a acercarse a las oficinas de la Compañía Minerales Santander S.A.C., Ubicada en la Av. La Floresta 497 piso 5, distrito de San Borja, provincia y Departamento de Lima a recoger el cheque correspondiente a la cuota del mes de Junio 2015.","trome","25/06/2015"
"KEIKO FUE PRIMERA DAMA DE LA DICTADURA","Amnomepreocupa nadamas que participar en unas elecciones presidenciales. Democrtica. Me parece muy bien que la primera dama de Venezuela. Adems, cuestion bien de Ollanta Humala la por guardar silencio cmplce sobre la crisis financiera, que de Venezuela. (MBL)","trome","25/06/2015"
"ANA JARA Y OMONTE SE SALUDARON","Pese a sus enfrentamientos verbales, por la prdida de milln y medio de paales, las exministras de la Mujer, Ana Jara y Carmen Omonte, se saludaron durante la ceremonia por el aniversario del Tribunal Constitucional. Luego del acto, Ana Jara dijo que ambas colaborarn con las investigaciones. Omonte afirm que no se arrepiente de la denuncia.","trome","25/06/2015"
"LA RA YENI VILCATOMA HA BL FUERTE","Nuestro pas esta secuestrado por la corrupcin y el crimen organizado? expres. Y no le falta razn, pues quiso luchar contra eso y la expectoraron. As no es... Yeni Vilcatoma agrese la procedencia de los fondos de la ra dama Nadine Here actual procurador anticorrupcin, debe renunciar al cargo en un acto de decencia. Qu ! i Quesqun le responden los compaeros?.","trome","25/06/2015"
"DANIEL URRESTI NO TIENE A KEKO, PERO TAMBIN DISPARA CONTRA ALAN","Diceque el Apra ya muri y lo reemplaz el expresidente, Qu le responden los compaeros?.","trome","25/06/2015"
"LOS TRABAJADORES LISTOS PARA SACAR TODO EL EXCEDENTE DE CUATRO SUELDOS","Economista Jorge Gonzlez Izquierdo recomienda no malgastar ese dinero, sino invertirlo en un negocio, educacin o salud. Esta ley reactivar en algo la economa del pas, porque habr ms platita para gastar, dijo Gonzlez Izquierdo. Pero cunto se podr sacar? Segn el economista, lo intangible de la CTS ser lo hecho en los primeros cuatro aos de trabajo. Por ejemplo, sigunas mil soles mensuales y en tu CTS tienes 5 mil, puedes retirar mil soles, pero los mil soles primeros son intocables, destac. Asimismo, Gonzlez Izquierdo recomend a la poblacin que piensa disponer de este dinero no malgastarlo, sino invertirlo, ya sea en un negocio, educacin o tal vez una operacin. (T. Paredes)","trome","25/06/2015"
"EL VOCAL SUPREMO ROBINSON GONZALES PODRIA SER RECLUIDO EN UN PENAL","Pues la fiscal Marita Barreto solicit ayer su detencin preventiva de 18 meses por presuntamente haber integrado el aparato legal de la organizacin criminal que lider Rodolfo Orellana, Gordo. Ser el juez de Investigacin Preparatoria, Richard Concepcin Carhuancho, quien resolver este pedido. Para sustentar su solicitud, la fiscal sostuvo que a Gonzales se le imputa el delito de asociacin ilcita y lavado de activos porque, aparte de otros hechos, habra recibido 300 mil soles de Orellana, a quien en marzo de este ao visit en el penal Piedras Gordas. El exmagistrado acept haber hablado con el Gordo para ofrecerse como defensor.","trome","25/06/2015"
"SELECCIN DE INTERNAS, QUE REPRESENT A PER, DERROT 2—1 A BOLIVIA","Con figuras del futsal como Waldry Torrontegui Araujo. Las mujeres hicieron gala de su destreza con el baln, pues inclusive realizaron jugadas de taco y paradas de pechito. Las mujeres salieron rosas pese a que el equipo rival estaba integrado por jugadores de la seleccion peruana de ftbol rpido, entre ellos el dor historico de Alianza Lima, Waldir Senz, Oswaldo Araujo, Pocholo Hernndez, Christian Conde y otros. Vamos a ganar. Si el Per une, todo es posible. S se puede afirma Cinthya Quintana, capitana del equipoganador quien confa en que hoy la seleccion peruana derrote a Bolivia por los cuartos de final de la Copa Amrica. La directorad del penal, thinet Avila, quien organice el evento, destac el entusiasmo de las internas, quienes decoraron con mucho colorido los ambientes del centro de reclusin. (TParedes)","trome","25/06/2015"
"VA PRESO POR ACUCHILLAR A NIOS Y MATAR PERRITOS","Martn Meza Castillo (31), quien acuchill a los menores J.S.G.P. (7) y C.C.D.A.N. (3), adems de matar a dos perritos en Lurin, fue enviado a la crcel. El juzgado de Turno de Lima Sur le fij nueve meses de prisin preventiva, tras abrirle proceso penal por delito de homicidio calificado en grado de tentativa. Hoy ser trasladado a un penal. Este despacho emiti el fallo, al acoger el pedido del fiscal de turno de Lima Sur, Edwin Zrate, quien pidi su detencin, al sostener que Meza Castillo atac a los menores con un cuchillo de 30 centmetros. Tambin se tom en cuenta sus antecedentes penales y policiales, pues antes fue denunciado por delitos contra el pudor en agravio de menores de edad y robo. Por su parte, la madre y el abogado del detenido argumentaron que estuvo bajo tratamiento psiquitrico. En tanto, se conoci que la menor de 3 aos sufri heridas en el pulmn, diafragma e hgado.","trome","25/06/2015"
"SEGÚN EL ESPECIALISTA, LA INFLUENZA PUEDE CONFUNDIRSE CON UN RESFRÍO COMÚN","Según el especialista, la influenza puede confundirse con un resfrío común; sin embargo, la fiebre elevada, los vómitos y el intenso dolor muscular pueden ser síntomas distintivos. Si no está tratada, puede complicarse causando problemas respiratorios graves como la neumonía, incluida la muerte.  Aunque según últimos reportes, más del 50% de casos se presentan en jóvenes. Ellos están expuestos a este virus pues acuden mentalmente a lugares cerrados frecuentados donde el contagio es mayor. Lamentablemente, este grupo no recibe vacuna anual que les brinda a otros, pero puede solicitársela en clínicas y centros médicos particulares a un precio accesible, añade el doctor, vocero de la campaña Yo digo NO a la influenza (Mariza Llanos), pediatra Julio Terón.","trome","25/06/2015"
"ASTRAIDOS POR TOYOTA","Los beneficios de hoy, más los beneficios de siempre. A la confianza, seguridad y excelente valor de reventa le sumamos más beneficios. Visítanos en nuestra red de concesionarios a nivel nacional o solicita tu cotización en www.toyotaperu.com.pe y descubre las ventajas de tener un Toyota.  Desde el 30 de junio del 2015 hasta octubre del año siguiente, para Rosales Endegos Promoción en los autos sedán:  Honda Accord Sedán 2012 Nuevo automóvil: $9,000 por vehículo o crédito todocaminos 2.0 litros. Descuento neto: $5,000 o en total los de 6 meses contados desde entrega. Suma máxima de $15,000. Toyota Corolla Fabricación 2015 Todas las versiones: $5,000 o en total los de 6 meses contados desde entrega. Equipados con asientos de cuero, radio tocha, sensores de estacionamiento delantero y trasero, cámara de reversa, climatizador dual, Bluetooth, USB, entrada auxiliar, volante multifunción, control crucero, faros antiniebla, sensor de lluvia, sensor crepuscular, luces LED, tapicería mixta tela y piel, sistema de audio premium JBL, pantalla táctil de 7 pulgadas, computadora de viaje, etc. Sin embargo, según últimas cifras, más del 50% de casos se presentan en jóvenes. Ellos están expuestos a este virus pues acuden mentalmente a lugares cerrados frecuentados donde el contagio es mayor. Lamentablemente, este grupo no recibe vacuna anual que les brinda a otros, pero puede solicitársela en clínicas y centros médicos particulares a un precio accesible, añade el doctor, vocero de la campaña Yo digo NO a la influenza (Mariza Llanos), pediatra Julio Terón.","trome","25/06/2015"
"INFECTADA DE NEPEDA","El artista era un panzón desmondongado. Mesenteroidiota afirm Magaly Ina en referencia a la entrevista con Tilsa Lozano, excusándose de no poder preguntarle por el Loco Vargas, porque su productor Ney Guerrero había firmado un acuerdo con la mamá de Tilsa (su manager), donde se detalla que no podían preguntarle por su actual novio (Miguel Dalgo) y su familia por su vinculación política. Además, tampoco del jugador (Juan Vargas), su esposa y sus hijos. Esto es como ponerme una mordaza, va en contra de mi concepto periodístico y me hizo conflicto con Ney. Y no quería hacer programa, pero salió por ser profesional. Enfatizó la Urraca.  Contó que su manager de Vengadora que le impedía preguntar por su relación con el Loco Vargas y por su actual pareja, Migueln. Hidalgo en entrevista con Karen Schwarz. En otro momento, cuando la mamá amenazó con parar la entrevista y llevarse a su hija del set cuando le tocó el tema del Loco Vargas. Tenía que tocarle el tema de Vargas, no iba a hablar con ella por dos horas pues no hay otra cosa para conversar con ella. Cuando le toqué el tema, la mam se puso al lado de Ney y me escribió que cambiara de pregunta porque se la llevaba. Sonó molesta. Si él se paga, debe venir sin condiciones. Ney aceptó y dice que eso era marketing, pues las cifras le dieron la razón, agregó. Además, calificó como una abajeza los tweets que retuiteó Tilsa Lozano, donde se alaba a su amo asumido. Mi madre fue conviviente y no se casó con mi padre porque su primer compromiso no le daba el divorcio. Después de años, le dio el divorcio y se casa y yo paré. Refirió. Finalmente, calificó a Gisela como mentirosa. Me molesta cuando hay mentiras, no llegan una vez, sino cuatro. Si es cristiana, no mencione. Diosito te va a castigar indicó la Urraca.","trome","25/06/2015"
"POR RESPETO A SU PAREJA MIGUEL N","Milett Figueroa aclaró que, a diferencia de Tilsa Lozano, ella no negocia su verdad, pues la Conejita confesó que sí cobró por la entrevista que le concedió a Magaly Medina, el último fin de semana. En mi caso, yo nunca cobré un sol. Por mi lado, fue un tipo de catarsis para que el público se entere de la verdad. No me parecía que tenía que cobrar para contar mi verdad. Yo no negocio con mi verdad, enfatizó la popular Milechi. Adicionalmente criticó la actitud de ambas. Lo único que vi es que se dijeron cosas que no venían al caso, entre mujeres no se pueden atacar así. Considero que en vez de confrontar un poco, lo que hubo fue un ataque, indicó la modelo y actriz.","trome","25/06/2015"
"ASEGURA QUE ELLA NO COBRÓ POR IR AL SET DE MAGALY!","Por el embarazo de sus compañeras, Jazmín y Olinda, las Vengadoras están emocionadas. Es una coincidencia máxima que ellas estén embarazadas (feliz por el embarazo) porque cada una a su estilo, me parece muy lindo que sin querer hayan coincidido en esto (el embarazo) porque cada una a su estilo, me parece muy lindo que sin querer hayan coincidido en esto. Angie Jibaja aseguró que Olinda Castaeda no tiene ningún talento y es insípida. Esa chica se cree demasiado. Si tiene talento? No, nada. Lo que tiene es una lengua venenosa para hablar mal de cualquiera. No tiene talento, siempre lo he dicho, es una mujer insípida, afirmó la modelo a América espectáculos, quien además dijo estar emocionada por el estreno de la serie Las fabulosas flores en Chile.","trome","25/06/2015"
"Chapan a 3 ‘cogoteros’","Jonathan García Quinto (22), Agustín Mauricio Pillaca Aponte (27) y Humberto Alfredo Grados Salazar (28), quienes cogotearon al empleado de un grifo, fue presenciado por Lelis García Herrera (27) quien distrajo y los otros lo asaltaron. (M. Rochabrún)","trome","25/06/2015"
"Lo matan delante de enamorada","Empleado protegi a chica con su cuerpo y sujeto le disparó en la nuca. Aparentemente se trata de un asalto, pero policía no descarta crimen pasional. Cuando ella, quien protegió con su cuerpo para que no la agredan, un joven empleado de un supermercado fue alcanzado por un disparo en la nuca por un sujeto encapuchado, en Breña.","trome","25/06/2015"
"Jos Luis Lusalde deja huérfanos a dos niños","Medianoche La madrugada del martes, José Luis Lusalde Cleonares (30), antes de salir de su trabajo, en Surco, llamó por teléfono a su pareja Fiama Corina Ingayoca Mantilla (25) para encontrarse cerca de la casa de ella. La pareja, que recientemente había iniciado su relación sentimental, conversó y decidió pasear por la zona, pero en el cruce de los jirones Lo Reto y Orbegoso, según versión de la chica, un sujeto encapuchado, de tez blanca y aproximadamente 1.68 de estatura, se les acercó. Ella agregó que el individuo le dijo al joven: “¿No eres de la zona?” y a ella le gritó “¡Vete!”. Cuando Corina se retiraba, escuchó un disparo y al voltear vio caer malherido a su enamorado, quien muri en el acto. La joven le contó al asesino que intentó borrarles su celular a su enamorado. Sin embargo, el asesino se fugó sin llevarse nada de la víctima. Detectives de la Divincri Breña intervinieron al lugar a las 7 de la mañana a Corina Ingayoca, en su casa de la cuadra 10 del jirón, cerca del lugar del crimen. En su poder tenían el celular de su novio. Las prendas de vestir que llevaba puesta en el momento del asesinato también fueron sometidas a diversas pruebas. Aparentemente se trató de un asalto típico, donde el móvil del crimen sea desprendente asesinato pasional.","trome","25/06/2015"
"Sale platita todos los días","Sigue la lluviosa temporada cada domingo sale un y los doneros. Nuestros lectores, el reventón de los sorteos, están primero y por eso los premiamos, todos los días, con la Súper llamada ganadora. Que ya ha llevado alegría a miles de hogares. Por solo 12 mil nuevos soles! De lunes a sábado, tienes la oportunidad de inscribir tu número de la suerte llamando al 710–0260 o en www.trome.pe. Inscripciones todos los días de 7 am. a 6 pm. Sorteos: 7 pm.","trome","25/06/2015"
"Escápese de Lima el fin de semana largo","Más cerca está el distrito de Chancay (Huaral), donde encontrarás el castillo del mismo nombre, situado sobre los acantilados. Está a unos 183 kilómetros de distancia y es ideal para disfrutar del clima cálido. Presentamos algunos lugares que puedes visitar para relajarte y sin gastar mucho dinero. Más allá, en Supe, está Caral, el centro ceremonial más antiguo de América.","trome","25/06/2015"
"Sabes adonde?","Sabes reconocer si tu relación de pareja está en crisis? Conoces cuáles son las conductas inapropiadas en la intimidad? En esta edición, respondemos a estas y otras preguntas. Contamos con la periodista Maritere Braschi, el actor Franco Cabrera y los integrantes del grupo mexicano Ro Roma. Además, tenemos el Consultorio Íntimo y el Horóscopo del Amor. Todo esto a solo 50 centavos.","trome","25/06/2015"
"Mega Plaza","Ropa, zapatos en Lima Norte Lima Norte será la sede del VI Speed Fashion 2015 que llevará lo más actual en tendencias de moda y reunirá a diversas empresas del rubro de ropa, calzado, joyería y accesorios. El evento es organizado por la Cámara de Comercio de Lima y se realizará el 10 y 11 de julio en el Centro de Convenciones Mega Plaza, convocando a más de 10 mil personas. Habrá la participación del destacado diseñador José Miguel Valdivia con su última colección Fifty Shades of Blue, seminarios y más.","trome","25/06/2015"
"Cerraran carriles a la altura de puente Husca","Desde mañana hasta el 10 de julio, se restringirá el tránsito en los carriles adyacentes al separador central en ambos sentidos a la altura del puente Huscar, que une a San Juan de Lurigancho con Lima, informó la comuna limeña. La medida se debe a la instalación de las bases de estructuras metálicas como parte de las obras del viaducto 9, que unirá la Vía de Evitamiento con el ingreso del túnel debajo del río Rimac. La restricción, que tendrá una extensión aproximada de 30 metros, estará señalizada y contará con la presencia de efectivos policiales y personal de apoyo de manera permanente para evitar la congestión vehicular en la zona.","trome","25/06/2015"
"Invitación a la fiesta de San Juan","Se celebra la festividad más importante de la Amazonía Peruana, la Fiesta de San Juan. Hubo danzas, juanes, tacacho, cecina, aguajes y tragos exóticos, hasta rayando con potajes de la Amazonía, tragos exóticos y bailes selváticos. Presentan a Anaconda Ana, de 5 metros en Zoológico de Huachipa. Los festejos siguen del 27 al 29 de junio (feriado largo) con talleres, danzas, gastronomía y más de 80 especies de selva: boas, otorongos, monos, loros, guacamayos, tucanes, cocodrilos enano, caimán blanco y ver la interacción del cuidador Hugo Pastrana con el meroto tapir.","trome","25/06/2015"
"HOLA, MI BARRUNTO.","Llego embaladita para contarles los últimos chimentos de Chollywood. Me cuentan que mi tío NESTOR QUINTEROS está mal de salud, por eso su familia pide a sus colegas y amigos orar por su recuperación. Fuerza...  Dicen que BRUNELLA HORNA está pensando seriamente en lanzarse como cantante, tanto que no tuvo problemas en ir a los estudios de grabación de CANCIÓN DEL SOL para soltar sus gallitos, Nico... Mientras CLAUDIA RAMÍREZ y GEORGE FORSYTH anunciaban que estaban en cuchis; STEPHANIE VALENZUELA no tuvo mejor idea que colgar en su Twitter un video donde baila —dice— para alegrarse la vida... El romance de la TIGRESA DEL ORIENTE con su chibolo traspasó fronteras y fue noticia en varios programas extranjeros... PANCHO RODRÍGUEZ no puede ver ni en pintura al METICHE, al punto que cuando el personaje de Hola a todos fue a entrevistarlo, el chileno no le dirigi la palabra y le pidi que no lo toque. Asúu... JULINHO metió la pata, ya que mientras estaba jugando en Esto es guerra mandó un saludo ‘para una chica que siempre ve Combate’. Casi linchan al garoto... Ahora sí me quito, porque mi motorizado se cree mecánico y dice que a mi motorcito hoy le toca mantenimiento... Suuuaaveces.","trome","25/06/2015"
"Mariella Zanetti tranquila.","Antes hacía declaraciones que generaban escándalos, incluso encontrándose disfrutando de su faceta para algunas cosas, xDice que no tiene por qué criticar pe malo es el público quienes deciden si es bueno o malo las películas de cómicos y quien decide si es bueno o malo es el público y Dios. Agradece a Combate por darle vitrina, pero le gustaría conducir un programa.  Karen Dejo aseguró podría ser, pero me gusta mucho más retomar lo que es lo mío, la conducción. No sé si continuar en Combate!, de otro lado, se refirió a su papel en la película Al margen de la ley, la misma que se estrenará el 9 de julio. Hago el personaje de Chelita, una chica del norte (del país) enamorada de la ley, la misma que interpretó Pablo Villanueva, Melcochita. Ella es mi pareja. No me llaman (de ningún lado) para otro galán, sino para un misterio, un villano, alguien que les dé miedo. Respeto a los que lo hacen, pero uno va quemando etapas. Gracias a Dios, me voy muy bien en mis negocios, así que estoy el televidente, el público.  (Rapitinkas, en su edición competidora Rapimelcocha)","trome","25/06/2015"
"Después de seis galas Magdyel Ugaz se despide, al parecer, por su recargada agenda","Probablemente Alondra y Doña Peta también estén en la lista de personas que han sido afectadas por la salida de Magdyel Ugaz de El Gran Show. Como se sabe, el Coyote está en sentencia junto a Mathías Brivio y Janet Barboza, y uno de ellos será despedido definitivamente de la pista de baile. Gisela haciendo uso de sus mejores armas, probablemente Alondra y Doña Peta también estén en la lista de personas que han sido afectadas por la salida de Magdyel Ugaz de El Gran Show. Como se sabe, el Coyote está en sentencia junto a Mathías Brivio y Janet Barboza, y uno de ellos será despedido definitivamente de la pista de baile. Gisela estará sentenciada.","trome","25/06/2015"
"Le pondrán prótesis de titanio en la columna para recuperar la movilidad","María Grazia Gamarra no cree que haya preferencias en El Gran Show. Creo que nunca faltan las peleas en el trabajo porque es parte de él, pero cuando pasa el tiempo, las cosas se normalizan. La verdad, no pienso que haya preferencias. Por mi parte, yo trato de ver las cosas de modo positivo, indicó la actriz, quien añadió que se siente feliz bailando. No soy bailarina, simplemente, pero lo disfruto al máximo, aseveró.   (Danny Rosales contó que el próximo 8 de julio será sometido a una operación, donde le pondrán una prótesis de titanio para recuperar la movilidad, tras su enfermedad en la columna.) Nunca perdí la fe para superar este problema y volver a caminar, dijo Danny, quien hoy recibirá un homenaje de sus compañeros como J.B., Manolo Rojas, Carlos Vilchez, Alfredo Benavides y Mondonquito en la carpa del Magic Circus de San Juan de Lurigancho.","trome","25/06/2015"
"Sin título","Encabezada por un grupo de rebeldes que se ha hecho con Sin embargo, cuando John Connor, líder de la resistencia, se entera que un Terminator ha sido enviado del pasado para asesinar a su madre, hace todo lo posible para protegerla.","trome","25/06/2015"
"Sin título","Cuando John Connor, líder de la resistencia, se entera que un Terminator ha sido enviado del pasado para asesinar a su madre, hace todo lo posible para protegerla.","trome","25/06/2015"
